Date,splitRatio,ticker
1997-10-27,2:1,RELIANCE.NS
2009-11-26,2:1,RELIANCE.NS
2017-09-07,2:1,RELIANCE.NS
2009-07-24,2:1,BHARTIARTL.NS
2003-08-22,3:2,ASIANPAINT.NS
2013-07-30,10:1,ASIANPAINT.NS
2011-07-14,5:1,HDFCBANK.NS
2019-09-19,2:1,HDFCBANK.NS
2014-12-04,5:1,ICICIBANK.NS
2017-06-20,11:10,ICICIBANK.NS
2014-11-20,10:1,SBIN.NS
2006-07-28,2:1,TCS.NS
2009-06-16,2:1,TCS.NS
2018-05-31,2:1,TCS.NS
2003-07-02,2:1,MPHASIS.NS
2004-05-26,2:1,MPHASIS.NS
2005-11-11,2:1,MPHASIS.NS
2015-03-19,2:1,TECHM.NS
